State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	0.40455	0.40409	0.40478	0.40432	0.40478	0.40661	0.41027	0.41370	0.41804	0.41827	0.42125	0.42330	0.42308	0.42330	0.42330	0.42125	0.41942	0.41713	0.41896	0.42056	0.42216
2	2.87656	3.04252	2.95032	3.09783	3.04252	2.83968	2.50777	2.23118	1.77019	1.51204	1.14325	0.95885	0.95885	0.95885	0.84822	0.84822	0.75602	0.82978	0.77446	0.77446	0.64538
3	4.56829	4.55691	4.58110	4.60813	4.63800	4.62378	4.63943	4.58963	4.53130	4.38192	4.22969	4.07035	3.84414	3.68195	3.46570	3.29498	3.16835	3.02608	2.88666	2.77996	2.69460
4	2.10011	2.11172	2.10799	2.10260	2.11337	2.11172	2.11545	2.13037	2.14446	2.18798	2.21782	2.26300	2.32724	2.36206	2.40557	2.43998	2.44246	2.44702	2.45987	2.45531	2.43459
5	0.70900	0.70877	0.70888	0.71000	0.71241	0.71282	0.70853	0.70847	0.70971	0.71418	0.72246	0.72693	0.73187	0.73746	0.74392	0.74921	0.75427	0.75944	0.76626	0.76932	0.77561
6	0.92651	0.92053	0.92651	0.92452	0.91853	0.92850	0.94047	0.95642	0.98633	0.99497	1.00494	1.00427	1.01225	1.01823	1.01624	1.00560	1.00826	1.01092	1.01889	1.02222	1.01823
7	4.19891	4.30349	4.27212	4.15185	4.14662	4.05250	4.00021	3.96361	3.86426	3.73876	3.55051	3.44070	3.29429	3.20540	3.14265	3.16357	3.18971	3.21063	3.18448	3.23154	3.22631
8	1.97893	1.97038	1.97893	2.09005	2.03021	2.13707	2.21400	2.13279	2.14134	2.07296	2.03876	2.15844	2.21400	2.27811	2.22255	2.22255	2.14989	2.02167	1.99602	2.06441	1.99175
9	3.54070	3.40335	3.36520	3.18206	3.10575	3.10575	3.09812	3.05996	2.86156	2.86156	2.97602	3.10575	2.96076	2.63264	2.86156	2.82341	2.73947	2.79288	2.83867	2.82341	3.03707
10	4.79746	4.80398	4.71924	4.62147	4.47806	4.26948	4.04786	3.78061	3.68283	3.46121	3.17441	2.93975	2.99189	2.95930	2.95930	3.04404	3.06360	3.03100	2.88108	2.95930	2.93323
11	1.24052	1.18348	1.22626	1.21913	1.22626	1.32607	1.36885	1.41162	1.49005	1.65402	1.62551	1.61838	1.41162	1.39736	1.46866	1.41162	1.53282	1.52569	1.46866	1.41162	1.29042
12	1.19158	1.15765	1.20006	1.15341	1.26791	1.32303	1.40360	1.50537	1.59018	1.48417	1.49689	1.45025	1.47145	1.40360	1.40784	1.47569	1.42481	1.52234	1.63259	1.49265	1.57322
13	1.26013	1.32668	1.32668	1.40611	1.33956	1.30092	1.46193	1.53706	1.50915	1.61005	1.61649	1.57141	1.58644	1.62508	1.51345	1.46837	1.56282	1.55209	1.47910	1.49198	1.46837
14	2.17708	2.04629	1.98722	1.95768	1.96612	2.03785	1.99566	2.03785	2.10114	2.07582	2.03363	1.98722	1.72141	1.67922	1.62437	1.60750	1.49780	1.53155	1.56530	1.58640	1.51467
15	1.17959	1.18068	1.18396	1.17304	1.14031	1.13376	1.10539	1.07593	1.04537	1.00063	0.96462	0.94826	0.96462	0.94826	0.94280	0.91770	0.92098	0.92316	0.89042	0.90897	0.94062
