State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	0.29430	0.29228	0.29026	0.28946	0.28825	0.28582	0.28340	0.27876	0.27533	0.27331	0.27250	0.27311	0.27432	0.27472	0.27876	0.28138	0.28360	0.28522	0.28602	0.28744	0.28703
2	0.48827	0.50454	0.52082	0.50454	0.50454	0.56965	0.58592	0.60220	0.66730	0.68358	0.71613	0.65102	0.73240	0.65102	0.65102	0.61847	0.56965	0.58592	0.58592	0.53709	0.55337
3	0.48848	0.44579	0.40686	0.38175	0.36040	0.34156	0.32524	0.31394	0.31896	0.32147	0.33277	0.35286	0.36919	0.36793	0.37924	0.38928	0.41063	0.43449	0.48723	0.53118	0.59648
4	1.04627	0.99323	0.94896	0.87360	0.79714	0.70239	0.62740	0.51545	0.44009	0.40644	0.39875	0.39839	0.41266	0.43936	0.47448	0.55314	0.66837	0.79092	0.91275	1.03676	1.14322
5	0.83715	0.82568	0.80456	0.76668	0.71422	0.63929	0.55243	0.46411	0.40869	0.37865	0.37014	0.37242	0.38643	0.40386	0.42799	0.46063	0.49171	0.51709	0.53894	0.55502	0.57007
6	1.90249	1.80980	1.69188	1.58805	1.46779	1.31350	1.11756	0.91047	0.73389	0.63827	0.59955	0.60600	0.63416	0.67992	0.75208	0.82776	0.94391	1.05713	1.15745	1.23723	1.31408
7	7.17233	7.83695	8.79696	9.63234	10.44465	11.17850	11.88466	12.26774	12.59543	13.13082	13.49082	13.45390	13.63851	13.92467	13.87390	13.45851	12.88620	12.05543	11.13696	10.20004	9.24003
8	2.75774	3.07464	3.58771	4.73457	6.18323	8.16760	9.46913	9.60117	8.01669	11.14038	12.41927	5.56453	4.58366	4.40258	4.36485	4.25922	3.56884	2.96146	2.38803	2.10509	1.85233
9	3.90650	4.64739	5.86648	7.53685	11.07964	16.87203	26.44969	38.49248	50.19177	52.12481	49.82806	44.19058	36.47188	29.67592	23.33123	16.85183	11.37599	7.76585	5.71831	4.32409	3.25317
10	6.23664	7.49663	9.18237	11.57576	14.67107	18.49706	22.69701	27.08107	30.91281	31.61472	34.66976	50.39369	56.12980	57.67745	54.74324	46.62524	36.79275	28.35832	22.06414	17.11050	13.92889
11	2.00739	2.30315	2.58633	2.74365	3.18414	3.95186	4.73845	5.41178	5.64461	3.98961	2.56116	2.41013	2.12066	2.02627	2.03256	1.88154	1.74310	1.57948	1.60466	1.51026	1.47880
12	1.60943	1.60569	1.56826	1.69552	1.86395	1.94255	1.92009	1.84898	1.39235	1.17526	0.91700	0.78974	0.80097	0.74857	0.74483	0.84214	0.95443	0.98812	1.00309	0.97314	0.93946
13	1.71670	1.83986	1.99903	2.30788	2.41968	2.48789	2.16956	1.86829	1.34721	1.02699	0.82235	0.75603	0.70108	0.85077	1.10089	1.44574	1.69775	1.76786	1.61249	1.53290	1.43816
14	4.59917	4.61779	4.71089	4.59545	4.17463	3.30321	2.22697	1.66464	1.36672	1.32948	1.44120	1.27362	1.40768	1.97001	4.03312	8.04017	11.87592	13.96882	14.42688	14.25557	13.22029
15	1.57379	1.47169	1.28580	1.09125	0.86298	0.70310	0.63086	0.57885	0.54996	0.53840	0.54900	0.54707	0.57018	0.61064	0.68191	0.91210	1.41390	2.10352	2.80566	3.41533	3.96047
