State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	15.20321	0.20433	0.31867	0.64254	0.42129	0.27251	0.30900	1.74371
2	0.18855	1.45271	3.13013	0.46363	1.14337	0.71615	0.54165	0.15305
3	2.44381	0.07608	5.54195	2.25485	4.23013	0.33278	0.43488	0.24210
4	8.38860	0.37915	2.18426	2.03077	2.21764	0.39877	0.70754	0.37239
5	59.13991	0.19600	0.62117	0.79925	0.72248	0.37015	0.59127	1.03085
6	5.23111	0.12367	0.78044	0.79950	1.00504	0.59957	1.17704	1.05341
7	0.66490	34.12229	4.88612	1.18608	3.55088	13.49123	11.70621	0.71372
8	0.81345	10.22857	2.25036	0.94368	2.03898	12.41966	5.40948	0.65641
9	0.45563	55.32640	7.04013	1.20036	2.97633	49.82959	20.29665	0.42412
10	0.53339	40.94612	7.58175	2.03156	3.17474	34.66507	24.18424	0.17636
11	0.48767	0.64004	1.38522	1.44992	1.62568	2.56124	2.75065	0.34612
12	0.81991	0.23757	1.29629	1.24691	1.49705	0.91703	1.30525	0.48504
13	1.61958	0.17222	1.30096	1.27562	1.61666	0.82237	1.57295	0.54687
14	0.82406	0.62471	1.89345	2.26807	2.03384	1.44124	4.89603	0.13023
15	3.18622	0.52000	1.30037	2.29013	0.96363	0.54901	1.17764	0.13044
Base	100	0.6832847744	2.4487802305	42.0774209923	0.0009290009	0.0010525920	3.4107529258	36.8568410921
