State (Emission order)	CtcfStdAlnRep1	H2azAlnRep1	H3k4me3StdAlnRep1	H3k9acStdAlnRep1	H3k4me2StdAlnRep1	H3k27acStdAlnRep1	Pol2bStdAlnRep1	H3k4me1StdAlnRep1	H3k79me2AlnRep1	H4k20me1StdAlnRep1	H3k9me1StdAlnRep1	H3k09me3AlnRep1	H3k36me3StdAlnRep1	H3k27me3StdAlnRep1	Ezh239875AlnRep1
1	0.006017529763260047	1.0214528792242137E-4	2.540025924635029E-4	5.664243202619098E-5	1.4894536232768578E-4	9.371988730089442E-4	0.016585348475113258	1.3607525251129826E-4	4.763944539415532E-5	8.128543357609923E-4	4.6825055506004174E-4	0.11651471017839644	8.240140145771938E-4	4.8723161519246974E-4	7.928207694887351E-4
2	0.1401928174814156	0.07636507481821408	0.13740484328257627	0.027866175667757693	0.06544859752918974	0.032029150270484814	0.17098435235387702	0.03388516717958833	0.027513467983887527	0.22333256028067583	0.12609566662591432	0.8843808490257392	0.4515328717252684	0.22769794399179452	0.20856819897745035
3	0.020644332717345264	7.561622551207467E-4	1.6939850059699565E-4	0.0015105645098920453	8.467839724636195E-4	0.015999179780494727	0.12061672569475242	0.010266705057981294	0.05493311565627665	0.0117450278091718	0.007168384597383257	0.0018676748792571497	0.4202878423938596	1.2574078909945838E-4	0.0018650856084871084
4	0.010011362137284518	4.8675844380502854E-4	1.2565287839980992E-4	5.02199791557856E-4	2.774637210043512E-4	0.004895852657466498	0.04909863851897947	0.001969400790813901	0.02022769518938196	0.005600272415731981	0.005705505441998862	9.523468063614E-4	0.03131341220761121	1.3309855331906695E-4	0.0016106188749831368
5	0.004189732575194602	0.0016096503130153099	7.081945002103566E-5	1.3282255449685237E-4	8.893588193376166E-5	0.0011282498374388416	0.012934131716181761	2.1147195406753976E-4	1.2339924189524495E-5	8.210851450963364E-4	0.001340106904178091	0.0017031134892246792	5.85108408743933E-4	0.004196113886554664	0.002243084603491556
6	0.010536775938523932	0.001142674842822095	1.050332876765397E-4	3.138798545339509E-4	3.849331136634879E-4	0.0014049838682302345	0.020736612894293318	0.0012998134634609505	7.239148994808326E-5	0.0036629775083157185	0.0027569647169411117	0.0011910505341931215	4.1384750889181786E-4	0.2940794554847013	0.041342418091358815
7	0.033765352664919694	0.1339830014544728	0.009872744267329188	4.773759414442465E-4	0.038352429778018206	0.0010044168224051624	0.022554968294415723	0.027043291695324462	8.124548534870294E-4	0.0054356307684123644	0.001566876798258933	0.004801662006597312	3.7691823394565735E-4	0.5749276097278448	0.902972964379516
8	0.322157233315711	0.25099871844253424	0.004198902849049082	0.0051104925579124	0.039228835079919665	0.008081556238736461	0.03306444121284492	0.04957824095072143	0.0026173642918818226	0.0015318641501025662	0.002156816008849729	0.002048785499517866	7.837851198153536E-4	0.008040244260557746	0.1004601076848162
9	0.12190501985463884	0.8526120800569296	0.7588124893264728	0.4496612993849221	0.706464273969793	0.18348476331117625	0.06120883640436811	0.2913247349284575	0.041089816440322224	3.608270997896739E-4	6.613480844040217E-4	0.0022767323802849126	5.723551927572291E-4	0.04220858268627651	0.27305577180283114
10	0.050677212028031465	0.5629128698271151	0.9936506496701454	0.946623509486096	0.8238922911604099	0.7508125694529851	0.2725773168202201	0.3393332453774915	0.7643111933067984	0.025154159133865234	0.0022115660479486536	0.0010237000764523217	0.027607573998756307	0.0011884171253785973	0.01781520908178038
11	0.05036647372668002	0.4397487147463945	0.4007311131267935	0.9036903539273083	0.9730929989893461	0.9943166029594988	0.3230227634410193	0.9590206281054603	0.12064833503070883	0.0015437784429383945	0.004740856718272512	3.627133825564975E-4	0.013403423408153191	7.990483938379161E-5	0.01872544982241193
12	0.040627384349856605	0.3451785425313131	0.026562956108395278	0.21427755065376866	0.6266754870335444	0.7467697983397201	0.10489125012307164	0.952558281774544	0.013555728106851867	0.0017968084700506223	0.006573896259667315	0.002499877667541535	0.01663109230759109	2.607094510296182E-4	0.01993671010407856
13	0.017762177286533995	0.11689037634151174	5.236905289381883E-4	0.004767340281831229	0.14033362880684075	0.09704177940037373	0.04923755408376752	0.6989759507430624	0.012358191521615719	0.0029818033826311376	0.0066533266640895405	0.001995448400237934	0.013359725122863503	0.0028572180725000376	0.011160634404417797
14	0.026690644721905785	0.020088228385978686	0.13053999418914872	0.09262037357121967	0.48148682395442655	0.31150030734568646	0.15749901805706246	0.854103104341695	0.8639693392088952	0.09311425268842949	0.027381076593603833	0.0015299975070959743	0.15728397442768705	1.817339075064541E-4	0.00554657350255552
15	0.012752891978335516	0.0010808299179755018	2.012491278144237E-4	0.0012901026353817184	0.004547687912351753	0.012180840231975775	0.07498138002355394	0.03187314726682316	0.7031519042417219	0.06611942071832184	0.014383586993369649	0.002971324565840439	0.1006502058332428	2.2449261016879428E-4	0.002422434384228506
