15	15	E	-1.1561375085561074E7	169
probinit	1	0.0
probinit	2	0.0
probinit	3	0.0
probinit	4	1.858372445282506E-303
probinit	5	1.0
probinit	6	1.6953959245166504E-276
probinit	7	0.0
probinit	8	1.2499007885732191E-226
probinit	9	0.0
probinit	10	0.0
probinit	11	0.0
probinit	12	0.0
probinit	13	0.0
probinit	14	0.0
probinit	15	0.0
transitionprobs	1	1	0.996511419180991
transitionprobs	1	2	8.64312844660383E-4
transitionprobs	1	3	1.8818068878955357E-5
transitionprobs	1	4	4.178800555392954E-5
transitionprobs	1	5	0.0024328006159405743
transitionprobs	1	6	0.0
transitionprobs	1	7	1.1823951211080078E-5
transitionprobs	1	8	1.0768841911258702E-5
transitionprobs	1	9	3.199238294850684E-5
transitionprobs	1	10	0.0
transitionprobs	1	11	0.0
transitionprobs	1	12	1.0965420527337302E-5
transitionprobs	1	13	6.196915246411147E-5
transitionprobs	1	14	0.0
transitionprobs	1	15	3.3415349131261364E-6
transitionprobs	2	1	0.06906929476952066
transitionprobs	2	2	0.9036099234156869
transitionprobs	2	3	0.006256367032643416
transitionprobs	2	4	0.006134067472161163
transitionprobs	2	5	0.007569175844189761
transitionprobs	2	6	0.0040861614955273245
transitionprobs	2	7	6.096959044315697E-4
transitionprobs	2	8	4.491123537584998E-5
transitionprobs	2	9	8.402541522374257E-4
transitionprobs	2	10	1.8906413350399395E-5
transitionprobs	2	11	0.0
transitionprobs	2	12	0.0
transitionprobs	2	13	7.575879962420017E-4
transitionprobs	2	14	1.943147557097712E-4
transitionprobs	2	15	8.093395129237441E-4
transitionprobs	3	1	9.066389940666501E-5
transitionprobs	3	2	4.6271640173122143E-4
transitionprobs	3	3	0.9502123558301446
transitionprobs	3	4	0.038672048286486606
transitionprobs	3	5	0.0
transitionprobs	3	6	0.0
transitionprobs	3	7	1.4510617081491003E-5
transitionprobs	3	8	4.253355001401856E-5
transitionprobs	3	9	0.0
transitionprobs	3	10	0.0
transitionprobs	3	11	0.0
transitionprobs	3	12	8.390920293206138E-4
transitionprobs	3	13	0.002651146593862817
transitionprobs	3	14	0.0015784820158924974
transitionprobs	3	15	0.00543645077605931
transitionprobs	4	1	6.094797117847725E-5
transitionprobs	4	2	1.729512948790021E-4
transitionprobs	4	3	0.011253147249096278
transitionprobs	4	4	0.9557190967942082
transitionprobs	4	5	0.0020392075344528235
transitionprobs	4	6	0.0
transitionprobs	4	7	0.0
transitionprobs	4	8	0.0023577897506677522
transitionprobs	4	9	3.455877717535164E-4
transitionprobs	4	10	4.5111784605019974E-5
transitionprobs	4	11	7.171929336174559E-5
transitionprobs	4	12	8.552859934169561E-4
transitionprobs	4	13	0.01782145677206918
transitionprobs	4	14	2.6151461600971813E-4
transitionprobs	4	15	0.008996183174301252
transitionprobs	5	1	6.38580050822186E-4
transitionprobs	5	2	1.9165727597719332E-5
transitionprobs	5	3	0.0
transitionprobs	5	4	2.8216585739202735E-4
transitionprobs	5	5	0.9840335395994309
transitionprobs	5	6	0.004459750646130551
transitionprobs	5	7	9.866134586578123E-5
transitionprobs	5	8	0.0060908950049335915
transitionprobs	5	9	1.263514431882099E-4
transitionprobs	5	10	0.0
transitionprobs	5	11	2.173225425546069E-6
transitionprobs	5	12	1.7888055011299197E-4
transitionprobs	5	13	0.004069836549100673
transitionprobs	5	14	0.0
transitionprobs	5	15	0.0
transitionprobs	6	1	2.0140701325615245E-5
transitionprobs	6	2	1.6259884487539316E-4
transitionprobs	6	3	7.65044047868343E-6
transitionprobs	6	4	0.0
transitionprobs	6	5	0.045866543399659926
transitionprobs	6	6	0.939305690701912
transitionprobs	6	7	0.008619128611479539
transitionprobs	6	8	0.00475940012566972
